a1_0,a1_1,a1_2,a1_3,a2_0,a2_1,a3_0,a3_1,a3_2,a3_3,a3_4,a3_5,b1_0,b1_1,b1_2,b1_3,b2_0,b2_1,b2_2,b2_3,b2_4,b3_0,b3_1,b3_2,b3_3,b4_0,b4_1,b4_2,b4_3,c1_0,c1_1,c1_2,c1_3,c1_4,c1_5,c1_6,c1_7,c1_8,c1_9,c1_10,c1_11,c2_0,c2_1,c2_2,c2_3,c2_4,c2_5,c3_0,c3_1,c3_2,c4_0,c4_1,risk_index,risk_label
3,2,2,3,3,3,3,2,3,2,3,2,2,3,3,3,3,2,3,3,3,3,2,2,3,3,2,3,3,3,2,2,2,3,3,2,2,3,2,2,2,3,3,3,3,3,2,2,2,3,2,3,6.438992213271605,MODERATE
2,2,3,2,3,2,2,2,3,2,2,2,3,3,3,3,3,2,2,2,2,3,3,3,3,2,2,3,2,2,2,2,3,3,2,2,2,2,3,2,3,2,2,2,2,3,2,3,3,2,3,2,5.677236892962964,MODERATE
3,2,3,3,3,3,2,2,2,3,2,2,2,2,2,2,2,3,3,3,3,2,2,3,2,2,2,2,3,2,2,3,3,2,2,3,3,3,2,2,3,3,3,3,2,3,2,3,3,3,2,2,5.639924608518518,MODERATE
2,2,3,2,2,3,3,3,3,3,2,2,3,2,3,2,3,2,2,2,3,2,3,2,2,2,3,2,2,2,2,3,2,3,2,2,2,3,2,3,2,3,3,3,3,2,2,3,2,3,2,2,5.281372037500001,MODERATE
2,3,2,2,2,2,3,2,3,2,2,2,3,2,2,2,2,2,3,3,2,3,2,2,3,3,3,3,3,2,2,3,3,2,2,3,2,3,2,3,2,2,3,2,2,2,3,3,2,2,2,3,4.712628656944446,MODERATE
3,3,3,2,3,2,2,2,2,2,3,3,3,2,2,2,3,3,3,3,3,3,3,3,3,3,2,2,2,2,2,3,2,3,3,3,3,3,2,2,2,2,3,3,2,2,2,3,3,2,2,2,5.866924042037036,MODERATE
3,2,2,2,2,2,3,3,3,3,3,2,2,2,3,3,2,3,2,3,2,2,2,3,2,3,2,3,3,2,3,2,2,3,2,2,2,3,2,3,2,3,2,2,2,2,2,3,2,3,3,3,5.32321864691358,MODERATE
3,3,3,3,3,2,3,3,2,3,2,2,2,2,2,2,3,2,3,2,2,2,3,3,3,2,3,2,2,2,3,2,2,3,2,3,3,2,2,3,2,2,2,3,3,2,3,3,3,3,3,2,6.27058926,MODERATE
2,3,2,2,2,3,2,3,2,2,3,3,2,3,2,2,2,2,2,3,2,2,2,3,3,2,3,3,2,2,3,3,2,2,3,2,3,3,3,3,3,2,2,3,3,3,2,3,3,2,2,3,5.090084266666667,MODERATE
2,2,3,3,2,3,3,3,2,3,2,2,3,2,3,3,2,3,2,2,2,3,3,3,2,2,2,2,3,2,2,2,2,2,2,3,2,2,2,2,3,2,3,3,2,3,2,3,2,2,2,2,5.116394768634258,MODERATE
2,2,3,3,2,2,3,2,2,2,2,2,3,2,3,3,3,2,2,3,2,3,2,3,2,3,2,3,2,2,3,2,2,3,2,3,3,3,2,3,3,3,2,3,2,3,2,2,2,3,3,3,5.384550958888889,MODERATE
3,2,2,2,2,2,3,3,2,2,2,2,3,3,2,2,2,3,2,3,3,3,2,3,3,3,3,2,3,3,2,3,3,2,2,2,2,2,3,3,2,3,3,2,2,2,2,3,2,3,3,2,5.207376865648148,MODERATE
2,2,2,3,2,3,2,3,2,2,2,3,3,3,3,2,3,3,3,2,2,3,3,2,2,2,2,3,3,3,3,2,2,3,3,3,2,3,3,2,2,2,2,2,2,3,2,3,3,2,2,2,5.143466406481484,MODERATE
3,3,3,2,3,2,3,2,3,3,3,2,2,3,2,3,2,2,2,2,3,2,2,2,3,3,3,2,3,2,3,3,2,3,2,3,2,3,3,2,3,3,3,3,2,2,3,3,2,3,3,2,6.411581768094136,MODERATE
2,3,3,2,3,2,3,3,2,2,3,3,2,3,2,3,2,3,3,2,3,3,2,2,2,3,2,2,2,3,2,3,2,3,2,2,2,3,3,2,2,2,3,2,3,3,2,3,3,2,3,3,6.026270663580247,MODERATE
3,3,2,3,3,2,2,2,2,3,2,3,2,3,3,2,3,2,3,3,2,2,3,3,2,2,3,2,2,3,3,2,3,2,2,3,3,2,3,2,3,3,2,3,2,3,3,3,3,2,2,3,6.0285777777777785,MODERATE
3,2,2,3,3,3,2,2,3,3,3,3,3,3,2,3,2,2,2,2,2,2,2,2,3,3,3,2,2,2,2,3,2,2,2,3,2,3,3,2,3,3,2,2,3,3,3,3,2,2,2,3,5.818396376527778,MODERATE
2,2,3,3,2,2,2,3,3,2,2,2,2,2,3,3,3,2,2,3,2,3,3,2,2,3,3,2,3,2,3,2,2,3,3,3,2,3,2,3,2,3,2,3,3,3,2,2,2,3,2,3,5.549383917839506,MODERATE
2,2,2,2,2,3,2,3,3,3,3,3,3,3,2,2,3,3,2,2,3,3,3,3,3,3,3,2,2,3,2,3,3,2,2,3,3,3,3,3,2,3,2,3,2,3,3,3,3,3,3,2,6.5666834152469145,MODERATE
3,3,3,2,3,3,2,2,2,3,2,3,3,3,3,3,3,2,3,2,2,3,3,3,3,2,3,3,3,3,3,3,2,3,3,2,3,3,2,2,3,2,2,3,2,3,2,3,2,2,3,2,6.987,HIGH
2,2,2,2,3,2,3,3,2,2,2,2,3,2,2,2,3,3,2,3,3,2,3,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,2,3,2,2,3,3,2,3,2,3,2,2,3,3,5.8973376944444444,MODERATE
2,3,2,2,3,2,3,3,2,3,3,2,3,3,3,2,3,3,2,2,3,2,3,3,2,3,3,2,2,3,2,2,2,2,2,3,2,3,2,2,3,3,2,2,2,3,3,3,2,3,2,3,5.881317557870371,MODERATE
2,2,2,2,3,2,2,3,2,3,2,2,3,2,3,3,3,2,3,3,2,3,3,2,2,3,2,3,3,2,2,3,2,3,2,2,3,2,2,3,3,2,2,3,3,2,2,2,3,3,2,3,5.675693082222223,MODERATE
3,2,3,2,2,2,3,3,3,2,3,3,2,2,2,2,2,2,3,3,3,3,3,2,3,2,3,3,2,2,2,3,3,2,3,2,2,2,3,3,3,2,2,2,3,3,2,2,3,3,3,3,5.726428124745371,MODERATE
2,3,3,2,3,3,3,3,3,3,2,3,3,3,2,2,2,2,3,3,2,3,2,2,3,3,2,3,3,3,2,2,3,3,2,3,3,3,3,3,3,2,2,2,3,3,2,3,2,2,3,2,6.335547710555554,MODERATE
2,3,3,2,3,2,2,3,3,2,2,3,3,3,2,3,2,2,2,3,3,3,3,3,3,3,3,3,3,2,3,2,2,2,3,2,3,2,2,2,3,2,2,3,2,3,2,3,2,2,3,2,6.262644176388888,MODERATE
2,3,2,2,3,3,2,2,2,3,3,3,2,2,3,2,3,3,3,2,2,2,3,2,3,3,3,2,3,2,2,3,2,2,2,3,3,2,2,3,3,2,3,2,3,3,3,2,2,2,3,2,5.865739583209878,MODERATE
2,2,2,3,3,2,2,2,2,2,2,3,3,2,2,2,2,3,2,2,3,3,3,2,2,2,3,3,3,3,3,2,3,2,3,3,2,3,3,3,3,3,2,3,3,3,3,3,3,2,2,2,5.4975574116666674,MODERATE
3,2,2,2,3,2,3,3,3,2,3,2,2,2,2,3,2,2,2,3,2,2,3,3,2,2,2,2,2,3,2,3,3,3,3,3,3,2,2,3,3,2,2,3,2,2,2,3,2,2,2,2,4.658197079074073,MODERATE
3,2,3,2,2,2,2,3,2,3,2,2,3,3,2,2,3,2,2,3,2,3,3,3,2,3,3,3,2,3,2,2,2,3,3,2,3,3,2,2,2,2,3,2,3,2,3,2,2,3,2,2,5.123557969074075,MODERATE
2,2,3,2,2,3,2,2,2,3,3,3,2,2,2,3,3,2,3,2,2,3,3,3,3,2,3,3,2,3,3,2,3,3,3,2,2,3,3,3,2,2,3,2,2,3,3,3,2,2,3,3,6.013700056527779,MODERATE
2,2,2,3,2,2,2,3,3,3,3,2,3,3,2,2,3,2,2,2,2,3,2,3,3,2,3,3,3,2,3,3,3,2,2,2,2,2,3,3,3,3,2,3,2,3,3,2,2,2,3,3,5.618504841049383,MODERATE
2,2,2,3,3,2,2,2,3,3,3,3,3,2,2,2,2,2,3,3,2,3,3,3,2,2,3,2,3,2,2,3,3,3,3,2,2,3,2,2,2,2,2,2,2,3,3,3,3,3,2,3,5.744069153472222,MODERATE
3,2,3,2,3,3,3,3,3,3,2,3,3,3,3,3,2,2,3,3,2,3,3,3,2,2,2,2,2,2,2,3,3,3,3,3,3,3,2,2,2,2,3,3,2,2,3,3,3,2,2,3,6.610858352592594,MODERATE
3,3,2,2,2,3,3,3,2,3,2,2,2,3,2,2,2,2,3,2,2,2,3,3,2,2,3,2,3,2,2,3,2,3,3,2,2,2,2,3,3,2,3,2,2,2,2,2,2,3,3,3,5.042079430555555,MODERATE
3,2,2,2,2,2,3,2,3,3,2,3,2,2,2,2,3,3,3,2,2,3,3,3,2,3,3,2,3,3,3,3,3,3,2,3,3,3,3,3,2,2,2,2,2,2,2,2,3,2,2,3,5.152791619259258,MODERATE
3,3,2,2,2,2,3,3,3,3,3,3,2,3,3,3,3,2,3,2,2,3,2,2,3,2,3,2,2,2,2,2,3,3,3,3,2,2,3,3,3,2,3,3,2,2,3,3,2,3,3,3,6.270683298055557,MODERATE
2,3,2,3,3,3,3,2,2,3,3,3,3,2,3,3,2,2,3,3,3,2,3,2,3,3,3,2,3,2,3,3,2,2,2,2,3,2,2,2,2,3,3,2,3,3,2,3,2,2,3,3,6.62195534074074,MODERATE
2,2,2,3,2,2,2,3,2,3,2,2,2,2,2,2,2,3,3,3,3,3,3,2,2,2,2,3,3,2,3,3,3,2,2,2,3,3,2,3,3,3,2,3,3,2,3,2,3,2,3,3,5.275090173533952,MODERATE
2,3,2,3,2,2,2,2,2,3,2,2,2,2,3,2,2,3,2,3,3,2,2,3,2,3,2,2,2,3,2,2,3,2,3,2,3,3,2,2,2,2,2,2,3,3,2,3,2,2,3,3,4.75470129361111,MODERATE
3,3,2,2,2,3,2,3,3,2,2,3,3,2,3,2,3,2,3,2,3,2,2,3,2,2,3,3,3,2,3,2,2,3,2,3,2,2,2,2,2,3,3,2,2,3,2,2,2,3,2,3,5.143052967962964,MODERATE
3,3,2,2,3,2,2,3,2,3,3,2,3,3,3,2,3,3,3,3,3,2,2,2,2,2,3,3,2,2,2,3,2,2,2,3,3,2,2,2,3,3,2,2,2,2,2,2,3,2,3,3,5.870300221527777,MODERATE
2,3,2,3,2,3,3,3,2,2,3,3,2,3,2,3,2,3,2,3,2,2,3,3,3,2,3,3,2,3,3,2,3,3,2,2,3,2,2,3,3,3,3,2,3,2,3,2,3,2,3,2,5.6370206383333334,MODERATE
